file_name,line_before,line_after,reference,project,commit_link
lodash.js,,/**,d8e069cc3410082e44eb18fcf8e7f3d08ebe1d4a,lodash,https://github.com/lodash/lodash/commit/d8e069cc3410082e44eb18fcf8e7f3d08ebe1d4a
lodash.js,,"* Gets the value at `key`, unless `key` is ""__proto__"".",d8e069cc3410082e44eb18fcf8e7f3d08ebe1d4a,lodash,https://github.com/lodash/lodash/commit/d8e069cc3410082e44eb18fcf8e7f3d08ebe1d4a
lodash.js,,*,d8e069cc3410082e44eb18fcf8e7f3d08ebe1d4a,lodash,https://github.com/lodash/lodash/commit/d8e069cc3410082e44eb18fcf8e7f3d08ebe1d4a
lodash.js,,* @private,d8e069cc3410082e44eb18fcf8e7f3d08ebe1d4a,lodash,https://github.com/lodash/lodash/commit/d8e069cc3410082e44eb18fcf8e7f3d08ebe1d4a
lodash.js,,* @param {Object} object The object to query.,d8e069cc3410082e44eb18fcf8e7f3d08ebe1d4a,lodash,https://github.com/lodash/lodash/commit/d8e069cc3410082e44eb18fcf8e7f3d08ebe1d4a
lodash.js,,* @param {string} key The key of the property to get.,d8e069cc3410082e44eb18fcf8e7f3d08ebe1d4a,lodash,https://github.com/lodash/lodash/commit/d8e069cc3410082e44eb18fcf8e7f3d08ebe1d4a
lodash.js,,* @returns {*} Returns the property value.,d8e069cc3410082e44eb18fcf8e7f3d08ebe1d4a,lodash,https://github.com/lodash/lodash/commit/d8e069cc3410082e44eb18fcf8e7f3d08ebe1d4a
lodash.js,,*/,d8e069cc3410082e44eb18fcf8e7f3d08ebe1d4a,lodash,https://github.com/lodash/lodash/commit/d8e069cc3410082e44eb18fcf8e7f3d08ebe1d4a
lodash.js,,"function safeGet(object, key) {",d8e069cc3410082e44eb18fcf8e7f3d08ebe1d4a,lodash,https://github.com/lodash/lodash/commit/d8e069cc3410082e44eb18fcf8e7f3d08ebe1d4a
lodash.js,,return key == '__proto__',d8e069cc3410082e44eb18fcf8e7f3d08ebe1d4a,lodash,https://github.com/lodash/lodash/commit/d8e069cc3410082e44eb18fcf8e7f3d08ebe1d4a
lodash.js,,? undefined,d8e069cc3410082e44eb18fcf8e7f3d08ebe1d4a,lodash,https://github.com/lodash/lodash/commit/d8e069cc3410082e44eb18fcf8e7f3d08ebe1d4a
lodash.js,,: object[key];,d8e069cc3410082e44eb18fcf8e7f3d08ebe1d4a,lodash,https://github.com/lodash/lodash/commit/d8e069cc3410082e44eb18fcf8e7f3d08ebe1d4a
lodash.js,,},d8e069cc3410082e44eb18fcf8e7f3d08ebe1d4a,lodash,https://github.com/lodash/lodash/commit/d8e069cc3410082e44eb18fcf8e7f3d08ebe1d4a
lodash.js,,,d8e069cc3410082e44eb18fcf8e7f3d08ebe1d4a,lodash,https://github.com/lodash/lodash/commit/d8e069cc3410082e44eb18fcf8e7f3d08ebe1d4a
lodash.js,"? customizer(object[key], srcValue, (key + ''), object, source, stack)","? customizer(safeGet(object, key), srcValue, (key + ''), object, source, stack)",d8e069cc3410082e44eb18fcf8e7f3d08ebe1d4a,lodash,https://github.com/lodash/lodash/commit/d8e069cc3410082e44eb18fcf8e7f3d08ebe1d4a
lodash.js,"var objValue = object[key],",,d8e069cc3410082e44eb18fcf8e7f3d08ebe1d4a,lodash,https://github.com/lodash/lodash/commit/d8e069cc3410082e44eb18fcf8e7f3d08ebe1d4a
lodash.js,"srcValue = source[key],","var objValue = safeGet(object, key),",d8e069cc3410082e44eb18fcf8e7f3d08ebe1d4a,lodash,https://github.com/lodash/lodash/commit/d8e069cc3410082e44eb18fcf8e7f3d08ebe1d4a
lodash.js,,"srcValue = safeGet(source, key),",d8e069cc3410082e44eb18fcf8e7f3d08ebe1d4a,lodash,https://github.com/lodash/lodash/commit/d8e069cc3410082e44eb18fcf8e7f3d08ebe1d4a
